MOD,SST
27.3,25.38
26.21,25.584
27.99,28.525
28.54,27.459
28.48,27.198
27.31,26.791
29.56,26.638
28.37,27.177
28.52,27.554
29.61,28.08
26.31,24.731
28.13,28.977
27.25,28.782
28.31,28.398
26.34,25.4
25.622,26.59
27.51,28.858
28.12,29.173
29.31,27.5
28.11,29.05
27.92,27.87
28.15,28.48
25.31,24.2
27.39,25.04
25.99,23.46
25.112,24.56
29.33,28.78
28.39,28.91
28.32,29.3
28.45,27.37
29.84,27.13
26.89,29.8
27.87,29.74
27.84,29.68
28.34,29.44
26.87,27.83
27.68,30.05
27.45,28.59
27.9,29.14
28.39,29.38
27.37,24.15
26.89,24.47
27.31,25.15
24.59,23.36
28.85,29.852
28.41,29
28.67,27.91
25.39,27.73
25.21,26.7
25.1,26.36
27.49,25.98
25.57,27.45
25.87,26.81
27.13,28.69
27.81,28.64
29.45,28.18
