Year,Temperature,Time
2000,27.497,Bangladesh Coast
2001,27.624,Bangladesh Coast
2002,27.399,Bangladesh Coast
2003,27.502,Bangladesh Coast
2004,27.33,Bangladesh Coast
2005,27.733,Bangladesh Coast
2006,27.815,Bangladesh Coast
2007,27.274,Bangladesh Coast
2008,27.291,Bangladesh Coast
2009,27.622,Bangladesh Coast
2010,27.831,Bangladesh Coast
2011,27.423,Bangladesh Coast
2012,27.318,Bangladesh Coast
2013,27.341,Bangladesh Coast
2014,27.766,Bangladesh Coast
2015,27.857,Bangladesh Coast
2016,27.982,Bangladesh Coast
2017,27.539,Bangladesh Coast
2018,27.453,Bangladesh Coast
2019,27.753,Bangladesh Coast
2000,27.75,Outer Coast
2001,27.758,Outer Coast
2002,27.768,Outer Coast
2003,27.778,Outer Coast
2004,27.792,Outer Coast
2005,27.956,Outer Coast
2006,27.901,Outer Coast
2007,27.659,Outer Coast
2008,27.735,Outer Coast
2009,27.776,Outer Coast
2010,28.118,Outer Coast
2011,27.692,Outer Coast
2012,27.559,Outer Coast
2013,27.602,Outer Coast
2014,28.136,Outer Coast
2015,28.158,Outer Coast
2016,28.401,Outer Coast
2017,28.043,Outer Coast
2018,27.724,Outer Coast
2019,28.122,Outer Coast
2000,27.942,Offshore
2001,28.035,Offshore
2002,28.069,Offshore
2003,28.036,Offshore
2004,28.074,Offshore
2005,28.204,Offshore
2006,28.119,Offshore
2007,28.009,Offshore
2008,27.954,Offshore
2009,28.087,Offshore
2010,28.349,Offshore
2011,27.992,Offshore
2012,27.952,Offshore
2013,27.786,Offshore
2014,28.295,Offshore
2015,28.259,Offshore
2016,28.451,Offshore
2017,28.323,Offshore
2018,27.997,Offshore
2019,28.22,Offshore
