Month,Temperature,Time
Jan,23.446,Bangladesh Coast
Feb,24.434,Bangladesh Coast
Mar,26.728,Bangladesh Coast
Apr,28.415,Bangladesh Coast
May,29.613,Bangladesh Coast
Jun,29.605,Bangladesh Coast
Jul,28.624,Bangladesh Coast
Aug,28.603,Bangladesh Coast
Sep,29.515,Bangladesh Coast
Oct,29.479,Bangladesh Coast
Nov,27.347,Bangladesh Coast
Dec,25.000,Bangladesh Coast
Jan,25.134,Outer Coast
Feb,25.392,Outer Coast
Mar,26.977,Outer Coast
Apr,28.444,Outer Coast
May,29.447,Outer Coast
Jun,29.455,Outer Coast
Jul,28.541,Outer Coast
Aug,28.315,Outer Coast
Sep,29.151,Outer Coast
Oct,29.366,Outer Coast
Nov,28.033,Outer Coast
Dec,26.202,Outer Coast
Jan,25.772,Offshore
Feb,25.921,Offshore
Mar,27.321,Offshore
Apr,28.607,Offshore
May,29.585,Offshore
Jun,29.423,Offshore
Jul,28.662,Offshore
Aug,28.451,Offshore
Sep,28.988,Offshore
Oct,29.300,Offshore
Nov,28.427,Offshore
Dec,26.834,Offshore
