Year,Temperature,Time
2000,27.051,Bangladesh Coast
2001,27.438,Bangladesh Coast
2002,27.451,Bangladesh Coast
2003,27.355,Bangladesh Coast
2004,27.387,Bangladesh Coast
2005,27.667,Bangladesh Coast
2006,27.717,Bangladesh Coast
2007,27.238,Bangladesh Coast
2008,27.239,Bangladesh Coast
2009,27.63,Bangladesh Coast
2010,27.708,Bangladesh Coast
2011,27.462,Bangladesh Coast
2012,27.413,Bangladesh Coast
2013,27.2,Bangladesh Coast
2014,27.817,Bangladesh Coast
2015,27.67,Bangladesh Coast
2016,27.773,Bangladesh Coast
2017,27.705,Bangladesh Coast
2018,27.516,Bangladesh Coast
2019,27.74,Bangladesh Coast
2000,27.442,Outer Coast
2001,27.613,Outer Coast
2002,27.784,Outer Coast
2003,27.718,Outer Coast
2004,27.761,Outer Coast
2005,28.045,Outer Coast
2006,27.949,Outer Coast
2007,27.635,Outer Coast
2008,27.746,Outer Coast
2009,27.821,Outer Coast
2010,28.096,Outer Coast
2011,27.772,Outer Coast
2012,27.668,Outer Coast
2013,27.546,Outer Coast
2014,28.196,Outer Coast
2015,28.142,Outer Coast
2016,28.334,Outer Coast
2017,28.139,Outer Coast
2018,27.951,Outer Coast
2019,28.168,Outer Coast
2000,27.72,Offshore
2001,27.748,Offshore
2002,28.073,Offshore
2003,27.897,Offshore
2004,27.961,Offshore
2005,28.227,Offshore
2006,28.093,Offshore
2007,27.814,Offshore
2008,27.802,Offshore
2009,28.041,Offshore
2010,28.215,Offshore
2011,27.817,Offshore
2012,27.973,Offshore
2013,27.758,Offshore
2014,28.168,Offshore
2015,28.138,Offshore
2016,28.325,Offshore
2017,28.268,Offshore
2018,28.057,Offshore
2019,28.224,Offshore
