Month,Temperature,Time
Jan,23.322,Bangladesh Coast
Feb,24.230,Bangladesh Coast
Mar,26.537,Bangladesh Coast
Apr,28.435,Bangladesh Coast
May,29.630,Bangladesh Coast
Jun,29.746,Bangladesh Coast
Jul,28.905,Bangladesh Coast
Aug,28.670,Bangladesh Coast
Sep,29.238,Bangladesh Coast
Oct,29.347,Bangladesh Coast
Nov,27.181,Bangladesh Coast
Dec,24.866,Bangladesh Coast
Jan,25.052,Outer Coast
Feb,25.253,Outer Coast
Mar,26.790,Outer Coast
Apr,28.451,Outer Coast
May,29.557,Outer Coast
Jun,29.650,Outer Coast
Jul,28.826,Outer Coast
Aug,28.531,Outer Coast
Sep,28.938,Outer Coast
Oct,29.289,Outer Coast
Nov,28.014,Outer Coast
Dec,26.166,Outer Coast
Jan,25.681,Offshore
Feb,25.747,Offshore
Mar,26.991,Offshore
Apr,28.534,Offshore
May,29.485,Offshore
Jun,29.351,Offshore
Jul,28.831,Offshore
Aug,28.538,Offshore
Sep,28.774,Offshore
Oct,29.127,Offshore
Nov,28.350,Offshore
Dec,26.781,Offshore
