Year,Temperature,Time
2000,27.497,Day
2001,27.624,Day
2002,27.399,Day
2003,27.502,Day
2004,27.330,Day
2005,27.733,Day
2006,27.815,Day
2007,27.274,Day
2008,27.291,Day
2009,27.622,Day
2010,27.831,Day
2011,27.423,Day
2012,27.318,Day
2013,27.341,Day
2014,27.766,Day
2015,27.857,Day
2016,27.982,Day
2017,27.539,Day
2018,27.453,Day
2019,27.753,Day
2000,27.05090388,Night
2001,27.43849557,Night
2002,27.45092403,Night
2003,27.35539711,Night
2004,27.38713145,Night
2005,27.66722984,Night
2006,27.71713633,Night
2007,27.23768818,Night
2008,27.23884628,Night
2009,27.63002085,Night
2010,27.7079615,Night
2011,27.46234495,Night
2012,27.41269637,Night
2013,27.19976517,Night
2014,27.81690088,Night
2015,27.67012139,Night
2016,27.77330345,Night
2017,27.70478979,Night
2018,27.51600461,Night
2019,27.73998737,Night
