Year,Temperature,Time
2000,27.7497383,Day
2001,27.75796376,Day
2002,27.76802444,Day
2003,27.77797774,Day
2004,27.79236489,Day
2005,27.95603455,Day
2006,27.90064293,Day
2007,27.65864582,Day
2008,27.73544877,Day
2009,27.77627613,Day
2010,28.11772567,Day
2011,27.692265,Day
2012,27.559102,Day
2013,27.60222698,Day
2014,28.13616378,Day
2015,28.15799685,Day
2016,28.40135097,Day
2017,28.04294724,Day
2018,27.72384932,Day
2019,28.1223054,Day
2000,27.4424823,Night
2001,27.6134639,Night
2002,27.78376278,Night
2003,27.7182757,Night
2004,27.76083271,Night
2005,28.04499791,Night
2006,27.94898715,Night
2007,27.63489791,Night
2008,27.74580737,Night
2009,27.82112151,Night
2010,28.09642776,Night
2011,27.77247124,Night
2012,27.6684885,Night
2013,27.54601358,Night
2014,28.19602508,Night
2015,28.14237992,Night
2016,28.33399481,Night
2017,28.13899002,Night
2018,27.95141871,Night
2019,28.16799205,Night
