Year,Temperature,Time
2000,27.94182646,Day
2001,28.03458321,Day
2002,28.0692212,Day
2003,28.03589062,Day
2004,28.07401546,Day
2005,28.20372963,Day
2006,28.11917761,Day
2007,28.00868138,Day
2008,27.95367643,Day
2009,28.08671442,Day
2010,28.34930925,Day
2011,27.99192842,Day
2012,27.95217731,Day
2013,27.78568652,Day
2014,28.29457403,Day
2015,28.25898084,Day
2016,28.45115434,Day
2017,28.32322874,Day
2018,27.99748336,Day
2019,28.22031186,Day
2000,27.72009341,Night
2001,27.74758009,Night
2002,28.07296164,Night
2003,27.8971339,Night
2004,27.96142849,Night
2005,28.22749213,Night
2006,28.09313818,Night
2007,27.81421091,Night
2008,27.80180048,Night
2009,28.04103006,Night
2010,28.2147158,Night
2011,27.81655601,Night
2012,27.97306439,Night
2013,27.75770916,Night
2014,28.16801731,Night
2015,28.13810397,Night
2016,28.32497147,Night
2017,28.2678512,Night
2018,28.05724025,Night
2019,28.22446697,Night
